Code,Name,Status,Completion %,Contract Value,Client
Al Ghurair Rehabilitation Center,Completed,AED 1,784,900,100%
Perla Towers 1,Completed,AED 2,608,000,100%
SSMC Staff Parking Phase I,Completed,AED 3,953,012,100%
SSMC Staff Parking Phase II,DLP Period,AED 7,915,590,100%
Civil Defence Al Shawamekh - C,Tender Stage,AED 1,928,500,15%
Facelift Enhancement SKMC,Tender Stage,AED 23,425,855.74,15%
Abu Dhabi Plant Tissue Culture,Tender Stage,AED 4,753,600,15%
New Hospital at Delma Island,Tender Stage,AED 11,895,097,15%
Agricultural Genome Bank,Tender Stage,AED 13,149,500,15%
The Beach House,Tender Stage,AED 5,514,456,15%
Lusaili & Lahbab,Tender Stage,AED 8,002,900,15%
SSMC Strategic Expansion,Tender Stage,AED 15,209,806,15%
Clinics Development,Tender Stage,AED 21,424,000,15%
The Farm house,Pre-Award,AED 4,966,200,20%
Abu Dhabi Stem Cell Hospital,Ongoing,AED 36,249,549,45%
Al Kheiran Villa,Ongoing,AED 3,266,300,45%
New Corniche Hospital - Royal Suites - V01,Tender Documents,AED 1,638,308,15%
New Corniche Hospital - Royal Suites - V02,Tender Documents,AED 1,227,096,15%
New Corniche Hospital,Construction,AED 57,000,000,75%
AD Police Saadiyat D2,Tender Stage,AED 1,212,522.64,15%
AD Police Beda Mutawah,Tender Stage,AED 1,465,721.82,15%
AD Police, Emergency, and Civil Defence - Rahayel,Tender Stage,AED 1,047,290.4,15%
AD Police Saadiyat D3,Construction Ongoing,AED 1,215,976.87,45%
AD Police Training Hangar - Tarif,Construction Ongoing,AED 1,248,975.04,45%
Majlis (2) Al Dhafra,Construction Ongoing,AED 1,676,000,45%
Majalis Phase 3 (No 5) Supervision,Construction Ongoing,AED 3,467,000,45%
Arab Monetary Fund Fitout,Construction Ongoing,AED 2,358,333,45%
STMC Multi-Storey Parking,Schematic Stage (Design),AED 985,000,19%
Long Term Care Center,Concept Stage (Design),AED 8,016,400,46%
Tawazun Industrial Park,Active,AED 13,573,000,74%
New Corniche Hospital - SKMC Retail / Mosque - V03,Awaiting Building Permit,AED 140,000,14%
New Corniche Hospital - Biomed Tender Package - V04,Client Review,AED 300,000,89%
