Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,PROJECT_UID,PROJECT_CODE,PROJECT_NAME,PROJECT_TYPE,CLIENT_ENTITY_UID,CLIENT_NAME,END_CLIENT_NAME,DEVELOPER_NAME,MAIN_CONTRACTOR_NAME,CONTRACT_UID,CONTRACT_TITLE,CONTRACT_FORM,CONTRACT_SIGNED_DATE,NOTICE_TO_PROCEED_DATE,PROJECT_COMMENCEMENT_DATE,PROJECT_COMPLETION_DATE_PLANNED,PROJECT_COMPLETION_DATE_ACTUAL,DEFECTS_LIABILITY_PERIOD_MONTHS,DEFECTS_LIABILITY_END_DATE,SCOPE_OF_SERVICES_ENUM,SERVICES_SCOPE_JSON,DELIVERABLE_REGISTER_JSON,DELIVERABLE_SCHEDULE_APPROVED_DATE,MILESTONE_BASELINE_JSON,MILESTONE_CURRENT_JSON,CHANGE_CONTROL_REQUIRED,VARIATION_ORDERS_COUNT,VARIATION_APPROVED_VALUE,VARIATION_PENDING_VALUE,CLAIMS_SUBMITTED_COUNT,CLAIMS_VALUE_SUBMITTED,CLAIMS_VALUE_DETERMINED,LD_APPLICABLE,LD_BASIS,LD_RATE_VALUE,LD_CAP_PERCENT_CONTRACT_VALUE,RETENTION_PERCENT,ADVANCE_PAYMENT_PERCENT,PERFORMANCE_BOND_REQUIRED,PERFORMANCE_BOND_PERCENT,PERFORMANCE_BOND_ISSUE_DATE,PERFORMANCE_BOND_EXPIRY_DATE,ADVANCE_PAYMENT_BOND_REQUIRED,ADVANCE_PAYMENT_BOND_EXPIRY_DATE,PI_INSURANCE_REQUIRED,PI_SUM_INSURED,PI_POLICY_NUMBER,PI_POLICY_EXPIRY_DATE,THIRD_PARTY_LIABILITY_REQUIRED,THIRD_PARTY_LIABILITY_SUM,INVOICE_METHOD,PAYMENT_TERMS_DAYS,PAYMENT_CURRENCY,CONTRACT_VALUE_EXCL_VAT,VAT_RATE_PERCENT,AUTHORITY_APPROVAL_MATRIX_JSON,AUTHORITY_FEES_PAYABLE_BY,AUTHORITY_FEES_PROVISIONAL_SUM,PROJECT_LOCATION_COUNTRY,PROJECT_LOCATION_EMIRATE,PROJECT_LOCATION_CITY,PROJECT_STATUS,COMMUNICATION_PROTOCOL,DELIVERY_RISK_RATING,CONFLICT_RESOLUTION_CLAUSE,LIABILITY_CAP_PERCENT_OF_FEES,INDEMNITY_SCOPE_ENUM,IP_OWNERSHIP,CONFIDENTIALITY_CLASS,DATA_PROCESSING_ADDENDUM_SIGNED,SUSTAINABILITY_REQUIREMENTS_ENUM,HSE_PLAN_REQUIRED,HSE_PLAN_APPROVED_DATE,SITE_ACCESS_PERMITS_REQUIRED,SITE_HSE_INDUCTION_REQUIRED,DOC_CONTROL_PLATFORM,RFI_TURNAROUND_DAYS,SUBMITTAL_TURNAROUND_DAYS,SNAGGING_SCOPE_REQUIRED,HANDOVER_DOCUMENTS_LIST_JSON,ORG_UNIT,PROJECT_MANAGER_UID,KEY_STAFF_LIST_JSON,TEAM_FTE_ALLOCATED,CRITICAL_COMPETENCIES_GAPS_JSON,RESOURCE_PLAN_LOCK_DATE,TIMESHEET_APPROVAL_CADENCE,WPS_COMPLIANCE_REQUIRED,WPS_COMPLIANCE_STATUS,PAYROLL_COST_RATECARD_JSON,COST_CODE,COST_CENTER,BUDGET_LABOUR_HOURS,BUDGET_LABOUR_VALUE,BUDGET_OPEX_VALUE,COMMITTED_COSTS_VALUE,FORECAST_TO_COMPLETE_VALUE,EARNED_VALUE,CPI_INDEX,SPI_INDEX,AR_OPEN_BALANCE,AP_OPEN_BALANCE,AR_BUCKET_0_30,AR_BUCKET_31_60,AR_BUCKET_61_90,AR_BUCKET_90_PLUS,AP_BUCKET_0_30,AP_BUCKET_31_60,AP_BUCKET_61_90,AP_BUCKET_90_PLUS,EXPECTED_COLLECTION_DATE,COLLECTION_RISK_SCORE,CASH_FLOW_FORECAST_30D,CASH_FLOW_FORECAST_60D,CASH_FLOW_FORECAST_90D,BANK_GUARANTEE_COLLATERAL_PCT,INSURANCE_RENEWAL_ALERT_DATE,AUDIT_TRAIL_REQUIRED,SOX_EQUIVALENT_CONTROLS,APPROVAL_DOA_LEVEL,LEGAL_HOLDS_ACTIVE,LEGAL_NOTICE_ACTIVE,DISPUTE_STATUS,RISK_REGISTER_JSON,TOP_RISKS_P90_VALUE,MITIGATION_ACTIONS_JSON,QHSE_INCIDENTS_COUNT,QHSE_NONCONFORMITIES_OPEN,AUTHORITY_SUBMISSIONS_OPEN,AUTHORITY_APPROVALS_PENDING,DOC_CONTROL_OVERDUE_TRANSMITTALS,RFI_OVERDUE_COUNT,SUBMITTAL_OVERDUE_COUNT,CLIENT_SATISFACTION_SCORE,NPS_SCORE,HANDOVER_READINESS_PERCENT,FINAL_ACCOUNT_AGREED_DATE,RETENTION_HELD_VALUE,RETENTION_RELEASE_DLP1_DATE,RETENTION_RELEASE_DLP2_DATE,RETENTION_RELEASE_AMOUNT_TOTAL,PROJECT_CLOSEOUT_PACK_COMPLETED,RECORDS_RETENTION_YEARS,DATA_CLASSIFICATION,CYBERSEC_REQUIREMENTS_ENUM,ACCESS_CONTROL_MATRIX_JSON,INTEGRATION_KEYS_JSON,INTEGRATION_GL_ACCOUNT_MAP_JSON,KPI_DASHBOARD_URL,PLAYBOOK_VERSION,LAST_REVIEWED_AT,OWNER_FUNCTION,REMEDIATION_SLA_DAYS,ALERT_SEVERITY
1,PROJECT_UID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PROJECT_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PROJECT_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PROJECT_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CLIENT_ENTITY_UID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CLIENT_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,END_CLIENT_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DEVELOPER_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MAIN_CONTRACTOR_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CONTRACT_UID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CONTRACT_TITLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CONTRACT_FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CONTRACT_SIGNED_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NOTICE_TO_PROCEED_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PROJECT_COMMENCEMENT_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
