MCE- PROJECTS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Project Name,Client Name,Project Name,Project Code,Project Location,Scope of Work,Project Type,Contract Value (AED),Contract Duration,Project Status,Commencement Date,Estimated Completion Date,Remark
ONGOING,,,,,,,,,,,,
New Corniche Hospital,RAFED,Design and Supervision Services for New Corniche Hospital at SKMC - Abu Dhabi.,2023.010.HLT.012,Abu Dhabi,Full Design & Construction Supervision,Healthcare,57000000,5  Years,Construction,2022,2028,The Project was on hold
New Corniche Hospital - Royal Suites - V01,RAFED,"Design and Supervision Services for New Corniche Hospital at SKMC - Abu Dhabi.
VO1: 8th Floor Royal Suite (New Comments & Requirements as per SEHA email Dated: May 01/2024)",,Abu Dhabi,Design Services,Healthcare,1638308,9 Months,Tender Documents,2024-05-01 00:00:00,2026-01-26 00:00:00,
New Corniche Hospital - Royal Suites - V02,RAFED,8th Floor Royal Suite -in collaboration  with KM2K,,Abu Dhabi,Design Services,Healthcare,1227096,6 Months,Tender Documents,2025-06-13 00:00:00,2026-01-01 00:00:00,
New Corniche Hospital - SKMC Retail / Mosque - V03,RAFED,SKMC New Mosque & Retail Shops -Reapproval-20% Advance,,Abu Dhabi,Authority Approval / Permitting,Healthcare,140000,3 Months,Awaiting Building Permit,2025-06-01 00:00:00,2026-01-26 00:00:00,
New Corniche Hospital - Biomed Tender Package - V04,RAFED,Biomedical Package,,Abu Dhabi,Design Services,Healthcare,300000,3 Months,Client Review,2025-08-01 00:00:00,2025-12-01 00:00:00,
AD Police Saadiyat D2,AD POLICE,"Saadiyat
 Island - D2 ",,Abu Dhabi,Full Design & Construction Supervision,Governmental,1212522.6432000003,16 Months,Tender Stage,2026-01-01 00:00:00,2027-01-01 00:00:00,
AD Police Saadiyat D3,AD POLICE,"Saadiyat 
Island - D3 ",,Abu Dhabi,Full Design & Construction Supervision,Governmental,1215976.8768,16 Months,Construction Ongoing,2025-11-01 00:00:00,2026-09-01 00:00:00,
AD Police Training Hangar - Tarif,AD POLICE,Shawamekh,,Abu Dhabi,Full Design & Construction Supervision,Governmental,1248975.04,16 Months,Construction Ongoing,2026-02-01 00:00:00,2026-12-01 00:00:00,
Civil Defence Al Shawamekh - C,AD POLICE,Training Aviation,,Abu Dhabi,Full Design & Construction Supervision,Governmental,1928500,16 Months,Tender Stage,2025-11-01 00:00:00,2026-09-01 00:00:00,
AD Police Beda Mutawah,AD POLICE,Bida Mutawa,,Abu Dhabi,Full Design & Construction Supervision,Governmental,1465721.82116,16 Months,Tender Stage,2025-12-01 00:00:00,2026-10-01 00:00:00,
"AD Police, Emergency, and Civil Defence - Rahayel",AD POLICE,Rahayel,,Abu Dhabi,Full Design & Construction Supervision,Governmental,1047290.4,16 Months,Tender Stage,2026-01-01 00:00:00,2027-01-01 00:00:00,
STMC Multi-Storey Parking,RAFED,Multi Story car parking ,2024.004.HLT-002,Al Ain,Design Services,Healthcare,985000,6 months,Schematic Stage (Design),2024-11-01 00:00:00,2025-04-30 00:00:00,
Long Term Care Center,Al Jalila Foundation,,,Dubai,Full Design & Construction Supervision,Healthcare,8016400,35 Months,Concept Stage (Design),2025-08-25 00:00:00,2027-09-22 00:00:00,
Majlis (2) Al Dhafra,Presidential Court,,,"Abu Dhabi, Western Region",Design Review & Supervision,Commercial,1676000,12 Months,Construction Ongoing,2025-02-01 00:00:00,2026-04-01 00:00:00,
Majalis Phase 3 (No 5) Supervision,Presidential Court,,,"Abu Dhabi, Western Region",Construction Supervision,Commercial,3467000,11 Months,Construction Ongoing,2025-02-01 00:00:00,2026-03-01 00:00:00,
Abu Dhabi Stem Cell Research Lab & Hospital,Abu Dhabi Stem Cell Center,,,Abu Dhabi,Full Design & Supervision,Healthcare,36249549,16 Months,Ongoing,2021-03-01 00:00:00,2021-05-30 00:00:00,
Arab Monetary Fund Fitout & Façade,Arab Monetary Fund,,,Abu Dhabi,Design & Supervision,Commercial,2358333,9 Months,Construction Ongoing,2024-05-01 00:00:00,2026-05-01 00:00:00,
Al Kheiran Villa ,Presidential Court,,,Abu Dhabi,Full Design & Supervision,Residential,3266300,5 Months,Ongoing,2025-09-30 00:00:00,2026-04-01 00:00:00,
,,,,,,,124442972.78116001,,,,,
RECENTLY COMPLETED CONTRACTS,,,,,,,,,,,,
Al Ghurair Rehabilitation Center,Al Ghurair Centre,,,"Dubai, UAE",Design & Supervision,Healthcare,1784900,1 Year,Completed,2023-10-01 00:00:00,2024-12-01 00:00:00,
Perla Towers 1,Emirates Limited ,Perla Tower 1 &2,,Abu Dhabi,Supervision,Residential,2608000,24 Months,Completed,2023-10-02 00:00:00,2025-01-01 00:00:00,
SSMC Staff Parking Phase I,SSMC/RAFED,,,Abu Dhabi,Design Build,Healthcare,3953012,5 Months,Completed ,2024-02-01 00:00:00,2024-08-01 00:00:00,
SSMC Staff Parking Phase II,SSMC/RAFED,,,Abu Dhabi,Design Build,Healthcare,7915590,6 Months,DLP Period,2024-09-01 00:00:00,2025-02-01 00:00:00,
,,,,Total,,,16261502,,,,,
UPCOMING PROJECTS,,,,,,,,,,,,
Tawazun Industrial Park,Tawazun,,,Abu Dhabi,Design & Supervision,Industrial,13573000,,,,,
Facelift Enhancement Projects at SKMC and Tawam Hospital,RAFED,,,Abu Dhabi & Al Ain,Design & Supervision,Healthcare ,23425855.740000002,36 Months,Pre-Award / Tender Stage,,,
Abu Dhabi Plant Tissue Culture Lab,Presidential Court,,,Abu Dhabi,Design & Supervision,Institutional,4753600,21  Months,Pre-Award / Tender Stage,2026-01-01 00:00:00,2027-10-01 00:00:00,
New Hospital at Delma Island - Abu Dhabi,RAFED,,,Abu Dhabi,Design & Supervision,Healthcare ,11895097,48 Months,Pre-Award / Tender Stage,2026-03-01 00:00:00,2030-03-01 00:00:00,
Agricultural Genome Bank Design,Abu Dhabi Agriculture & Food Safety Authority (ADAFSA),,,Abu Dhabi,Design & Supervision,Institutional,13149500,27 Months,Pre-Award / Tender Stage,2026-01-01 00:00:00,2028-04-01 00:00:00,
The Farm house,ZAAD DEVELOPMENT LLC,,,Abu Dhabi,Design & Supervision,Residential,4966200,25 Months,Pre-Award,2026-12-01 00:00:00,2028-01-01 00:00:00,
The Beach House,ZAAD DEVELOPMENT LLC,,,Abu Dhabi,Design & Supervision,Residential,5514456,21 Months, Tender Stage,TBD,TBD,
Lusaili & Lahbab,Dubai Health,,,Abu Dhabi,Design & Supervision,Healthcare ,8002900,36 Months,Pre-Award / Tender Stage,TBD,TBD,
Converting  group of villas into a specialized hospital,AI Hospital - Private,,,Abu Dhabi,Design,Healthcare ,540000,,Tender Stage,TBD,TBD,
80-Bed General Hospital ,Al Ghurair,,,Abu Dhabi,Full Design,Healthcare ,4298000,30 Months,Pre-Award / Tender Stage,TBD,TBD,
Al Gurm Island Villa,ZAAD DEVELOPMENT LLC,,,Abu Dhabi,Design & Supervision,Residential,6457665.5,24 Months,Pre-Award / Tender Stage,TBD,TBD,
SSMC - Strategic Internal Expansion,RAFED,,,Abu Dhabi,Fit out,Healthcare ,15209806,36 Months,Pre-Award / Tender Stage,2025-04-01 00:00:00,TBD,
"Majlis Al  Amal Ground Floor, Building No: 12, DHCC, Dubai, UAE",Al Jalila Foundation,,,Abu Dhabi,Design & Build,Healthcare ,1018970,3 Months,Pre-Award / Tender Stage,TBD,TBD,
Development of Up to Five (5) Clinics,Al Ghurair,,,Abu Dhabi,Pre concept,Healthcare ,21424000,38 Months,Pre-Award / Tender Stage,TBD,TBD,
